topic_id,count,top_words,topic_name
-1,1,"[('custom', np.float64(2.04717228111105)), ('personalized', np.float64(2.04717228111105)), ('', 1e-05), ('', 1e-05), ('', 1e-05), ('', 1e-05), ('', 1e-05), ('', 1e-05), ('', 1e-05), ('', 1e-05)]",custom
0,23,"[('return', np.float64(0.29414728913425986)), ('purchased', np.float64(0.20240486454391712)), ('damaged', np.float64(0.1517526887455697)), ('discount', np.float64(0.10816150344203507)), ('sale', np.float64(0.10816150344203507)), ('gift', np.float64(0.08509385002384222)), ('original', np.float64(0.08137444484793728)), ('code', np.float64(0.08137444484793728)), ('card', np.float64(0.08137444484793728)), ('receipt', np.float64(0.08137444484793728))]",return
1,29,"[('listed', np.float64(0.28920327977116433)), ('available', np.float64(0.20331804332665407)), ('pre', np.float64(0.17896851180725304)), ('stock', np.float64(0.17896851180725304)), ('soon', np.float64(0.1341813247855564)), ('coming', np.float64(0.1341813247855564)), ('currently', np.float64(0.11607748906406914)), ('restocked', np.float64(0.11607748906406914)), ('discontinued', np.float64(0.09563753988558892)), ('sold', np.float64(0.07195214070764981))]",listed
2,22,"[('offer', np.float64(0.21977975611427342)), ('policy', np.float64(0.15664769464018874)), ('gift', np.float64(0.12323936900004735)), ('payment', np.float64(0.11785264426252987)), ('account', np.float64(0.11785264426252987)), ('price', np.float64(0.11785264426252987)), ('services', np.float64(0.11785264426252987)), ('change', np.float64(0.11785264426252987)), ('cancel', np.float64(0.11785264426252987)), ('shipping', np.float64(0.08791190244570936))]",offer
